course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
ACCT3006,YUEN CHUN YIP,1,A,A,A,A,3,WED 10:00-11:15
APAC4005,ZHOU YINNING,1,A,A,A,A,2,MON 14:30-15:45 & THU 14:30-15:45
CISC3001,WU YUAN,1,A,A,A,A,3,MON 17:30-18:45 & THU 17:30-18:45 & WED 10:00-11:15
COMM1000,MA SIYUAN,3,A,A,A,A,3,FRI 14:30-15:45 & TUE 14:30-15:45
COMM2012,WANG HAIYAN,1,A,A,A,A,7,FRI 11:30-12:45 & TUE 11:30-12:45
COMM2012,WANG HAIYAN,2,A,A,A,A,7,FRI 10:00-11:15 & TUE 10:00-11:15
CPED1001,CHAU HONG CHENG,20,A,A,A,A,4,MON 09:30-11:15
CPED1001,CHAU HONG CHENG,21,A,A,A,A,4,FRI 09:30-11:15
CPED1001,CHAU HONG CHENG,22,A,A,A,A,4,FRI 11:30-13:15
CPED1001,WONG SOI CHEONG,26,A,A,A,A,3,FRI 09:30-11:15
CPED1001,WONG SOI CHEONG,27,A,A,A,A,3,FRI 11:30-13:15
ECEN1011,VAI MANG I,1,A,A,B,A,8,MON 10:00-11:45 & THU 10:00-11:45
ENGL3021,NICHOLAS MICHAEL PARKER-GROOM,1,A,A,A,A,11,FRI 16:00-17:15 & TUE 16:00-17:15
ENGL3021,NICHOLAS MICHAEL PARKER-GROOM,2,A,A,A,A,11,FRI 17:30-18:45 & TUE 17:30-18:45
FINC2000,XIE JING,1,A,A,A,A,7,MON 16:00-17:15 & THU 16:00-17:15
FINC2000,XIE JING,2,A,A,A,A,7,MON 17:30-18:45 & THU 17:30-18:45
GELH1001,CHEONG IM LAN,3,A,A,A,A,10,MON 14:30-15:45 & THU 14:30-15:45
GELH1001,CHEONG IM LAN,4,A,A,A,A,10,MON 16:00-17:15 & THU 16:00-17:15
GELH1007,LI ZIHAO,1,A,A,A,A,2,SAT 08:30-11:15
GEST2002,KUZMA STRELNIKOV,1,A,A,A,A,2,MON 11:30-12:45 & THU 11:30-12:45
GPAD2013,CHENG SAM KEE,1,A,A,A,A,3,FRI 10:00-11:15 & TUE 10:00-11:15
JAPN2001,REN WEIJIE,1,A,A,A,A,1,MON 16:00-17:15 & THU 16:00-17:15
JAPN2001,REN WEIJIE,2,A,A,A,A,1,MON 17:30-18:45 & THU 17:30-18:45
LAWS1056,LAI KUAN JU,401,A,A,C,A-,3,MON 14:30-17:15
LAWS1058,ZHAI XIAOBO,401,A,A,D+,A-,3,WED 10:00-12:45
LAWS1059,XINGZHONG YU,401,A,A,A,A,4,FRI 14:30-16:15 & THU 14:30-15:20
MATH1001,SUN HAIWEI,2,A,A,A,A,8,FRI 14:30-15:45 & TUE 14:30-15:45 & WED 14:00-14:50
MATH1007,WAN LUNG YAM,1,A,A,A,A,5,MON 16:00-16:50
MATH4001,LEONG IENG TAK,1,A,A,A,A,1,FRI 10:00-11:15 & THU 09:00-09:50 & TUE 10:00-11:15
MKTG4000,FU SIU FONG ISABEL,1,A,A-,A,B+,15,THU 10:00-12:45
PORT1000,AO SIO HENG,1,A,A,A,A,5,FRI 11:30-12:45 & TUE 11:30-12:45
PORT2007,CARLA ALEXANDRA SANTOS LOPES,5,A,A,A,A,1,FRI 16:00-17:15 & MON 11:30-12:45 & THU 11:30-12:45 & TUE 16:00-17:15
PORT2007,CARLA ALEXANDRA SANTOS LOPES,6,A,A,A,A,1,FRI 14:30-15:45 & MON 10:00-11:15 & THU 10:00-11:15 & TUE 14:30-15:45
PSYC3021,YAN MING,1,A,B-,A,B-,7,MON 14:30-15:45 & THU 14:30-15:45
PSYC4006,XIAO TING,1,A,A,A,A,14,MON 10:00-11:15 & THU 10:00-11:15
COMM2012,LOK CHU KWAN,10,A-,A,A,A,5,MON 17:30-18:45 & THU 17:30-18:45
CPED1000,LAU PUI KEI,601,A-,A,A,A,1,TUE 17:30-18:45
CPED1000,LAU PUI KEI,602,A-,A,A,A,1,THU 17:30-18:45
CPED1002,TANG LAI SEONG,28,A-,A,A,A,1,TUE 17:30-19:15
CPED1002,TANG LAI SEONG,29,A-,A,A,A,1,TUE 19:30-21:15
